日期,代码,开盘价,收盘价,最高价,最低价,成交量,成交额
2026-04-15,INX,6978.1699,7022.9502,7026.2402,6967.1299,3062289004,0
2026-04-15,IXIC,23688.1191,24016.0176,24026.5625,23672.2578,8160406680,0
2026-04-15,DJI,48549.1406,48463.7188,48709.0117,48281.6211,529878644,0
2026-04-15,NDX,25859.1895,26204.5801,26214.5684,25828.7637,1015896856,0
